City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Gouyave,GD,12.1646,-61.7296,83.17,74,40,16.11,scattered clouds
336,Walvis Bay,NA,-22.9575,14.5053,72.55,78,100,6.91,overcast clouds
337,Tiksi,RU,71.6872,128.8694,-14.96,98,100,3.71,overcast clouds
338,Chimore,BO,-16.9833,-65.1333,71.11,99,100,0.74,overcast clouds
339,Igarka,RU,67.4667,86.5833,-14.39,100,86,7.36,overcast clouds
340,Buraydah,SA,26.326,43.975,55.92,37,0,5.55,clear sky
341,Airai,TL,-8.9266,125.4092,60.82,89,92,1.16,overcast clouds
342,Lagoa,PT,39.05,-27.9833,60.19,85,16,12.15,few clouds
343,Atikokan,CA,48.7555,-91.6216,13.82,82,100,7.25,overcast clouds
344,Tarakan,ID,3.3,117.6333,77.29,85,100,6.98,overcast clouds
345,Atchison,US,39.563,-95.1216,50.23,59,14,13.04,few clouds
346,Colombo,LK,6.9319,79.8478,74.68,75,96,8.84,overcast clouds
347,Lasa,IT,46.6166,10.7002,40.46,67,100,4.97,overcast clouds
348,Broken Hill,AU,-31.95,141.4333,70.09,40,3,13.4,clear sky
